id,platform,accountwallet,assettype,assetname,ticker,amount,nativecurrency,nativeprice,usdprice,totalnative,totalusd,timestamp
170,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,JitoSOL,JitoSOL-USD,46.204793577,USD,164.9868774414062566259866141,164.9868774414062566259866141,7623.184615093974,7623.184615093974,2024-10-06 22:00:59.003992
171,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,USDC,USDC-USD,1500,USD,1.0,1.0,1500.0,1500.0,2024-10-06 22:00:59.003992
172,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,$WIF,$WIF-USD,11511.761187,USD,2.426249980926513638247176053,2.426249980926513638247176053,27930.41036038933,27930.41036038933,2024-10-06 22:00:59.003992
173,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,Manyu,Manyu-USD,119693.95017,USD,0.02520800009369850342537157824,0.02520800009369850342537157824,3017.245107100504,3017.245107100504,2024-10-06 22:00:59.003992
174,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,POPCAT,POPCAT-USD,20000,USD,1.3720773458480837,1.3720773458480837,27441.546916961674,27441.546916961674,2024-10-06 22:00:59.003992
175,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,mSOL,mSOL-USD,42.414161512,USD,176.6146545410156262433199931,176.6146545410156262433199931,7490.962483088721,7490.962483088721,2024-10-06 22:00:59.003992
176,Solana,BentJCra3KKwD3aDRQJZt1QqdqRt7qucUp2gApaPF4Mh,Crypto,HNT,HNT-USD,150,USD,7.30028247833252,7.30028247833252,1095.042371749878,1095.042371749878,2024-10-06 22:00:59.003992
177,Solana,91Cx4bC9gebA1pKxWANFRfQxkTw3VhsiqESoGZkeVpRg,Crypto,SOL,SOL-USD,50.015650710,USD,144.48037719726562,144.48037719726562,7226.28008034748601701159020,7226.28008034748601701159020,2024-10-06 22:00:59.003992
178,Solana,91Tv1BffxuonSvRoDqQEGfnSK5nAbS8Y9QAasjyTWLG6,Crypto,POPCAT,POPCAT-USD,1500,USD,1.372077345848083466666666667,1.372077345848083466666666667,2058.1160187721252,2058.1160187721252,2024-10-06 22:00:59.003992
179,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Ethereum,ETH-USD,0.040433029243825502,USD,2418.98721462546518523595295846462249755859375,2418.98721462546518523595295846462249755859375,97.80698078939142991077144859,97.80698078939142991077144859,2024-10-06 22:00:59.003992
